Wetenschappelijke naam,M14,M21
Apium inundatum,,
Baldellia ranunculoides,,
Baldellia ranunculoides ssp. ranunculoides,,
Baldellia ranunculoides ssp. repens,,
Calliergonella cuspidata,,
Callitriche brutia,,
Callitriche brutia var. brutia,,
Callitriche brutia var. hamulata,,
Callitriche obtusangula,3,3
Callitriche platycarpa,3,3
Ceratophyllum demersum,5,5
Ceratophyllum submersum,,
Chara,1,1
Chara aculeolata,1,1
Chara aspera,1,1
Chara aspera var. aspera,1,1
Chara baltica,1,1
Chara canescens,1,1
Chara connivens,1,1
Chara contraria,1,1
Chara contraria var. contraria,1,1
Chara contraria var. hispidula,1,1
Chara globularis,1,1
Chara globularis var. globularis,1,1
Chara gymnophylla,1,1
Chara hispida,1,1
Chara hispida var. hispida,1,1
Chara intermedia,1,1
Chara pedunculata,1,1
Chara virgata,1,1
Chara vulgaris,1,1
Chara vulgaris var. longibracteata,1,1
Chara vulgaris var. papillata,1,1
Chara vulgaris var. vulgaris,1,1
Cladopodiella fluitans,,
Drosera intermedia,,
Elatine hexandra,,
Eleocharis acicularis,,
Eleogiton fluitans,,
Elodea canadensis,2,2
Elodea nuttallii,4,4
Eriophorum angustifolium,,
Fontinalis antipyretica,2,2
Fossombronia foveolata,,
Fossombronia incurva,,
Fossombronia wondraczekii,,
Hottonia palustris,2,
Hydrocharis morsus-ranae,4,5
Hypericum elodes,,
Isoetes echinospora,,
Isoetes lacustris,,
Juncus bulbosus,,
Lemna gibba,5,5
Lemna minor,5,5
Lemna trisulca,3,3
Littorella uniflora,,
Lobelia dortmanna,,
Ludwigia palustris,,
Luronium natans,,
Lythrum portula,,
Myrica gale,,
Myriophyllum alterniflorum,,
Myriophyllum spicatum,3,3
Myriophyllum verticillatum,2,2
Najas marina,2,2
Nitella flexilis,,
Nitella flexilis var. flexilis,,
Nitella hyalina,1,1
Nitella mucronata,1,1
Nitella mucronata var. gracillima,1,1
Nitella mucronata var. mucronata,1,1
Nitella opaca,1,1
Nitella translucens,,
Nitellopsis obtusa,1,1
Nuphar lutea,4,4
Nymphaea alba,3,3
Nymphaea alba ssp. candida,3,3
Nymphoides peltata,2,
Persicaria amphibia,3,3
Pilularia globulifera,,
Potamogeton acutifolius,,
Potamogeton berchtoldii,2,2
Potamogeton coloratus,,
Potamogeton compressus,2,2
Potamogeton crispus,4,3
Potamogeton gramineus,,
Potamogeton lucens,3,3
Potamogeton mucronatus,2,2
Potamogeton natans,4,3
Potamogeton obtusifolius,2,2
Potamogeton pectinatus,5,4
Potamogeton perfoliatus,3,3
Potamogeton polygonifolius,,
Potamogeton praelongus,2,2
Potamogeton pusillus,4,4
Potamogeton trichoides,4,4
Potamogeton x angustifolius,2,2
Radiola linoides,,
Ranunculus aquatilis,2,2
Ranunculus aquatilis var. aquatilis,2,2
Ranunculus aquatilis var. diffusus,2,2
Ranunculus baudotii,,
Ranunculus circinatus,2,2
Ranunculus ololeucos,,
Ranunculus peltatus,,
Ranunculus peltatus var. heterophyllus,,
Ranunculus peltatus var. peltatus,,
Rhynchospora alba,,
Rhynchospora fusca,,
Riccia fluitans,3,3
Ricciocarpos natans,,
Ruppia cirrhosa,,
Ruppia maritima,,
Schoenoplectus lacustris,3,3
Sparganium angustifolium,,
Sparganium natans,,
Sphagnum cuspidatum,,
Sphagnum denticulatum,,
Spirodela polyrhiza,5,5
Stratiotes aloides,3,
Tolypella glomerata,,
Tolypella intricata,,
Utricularia australis,,
Utricularia intermedia,,
Utricularia vulgaris,3,
Warnstorfia fluitans,,
Wolffia,,
Wolffia arrhiza,,
Wolffia australiana,,
Wolffia columbiana,,
Zannichellia palustris,4,4
Zannichellia palustris ssp. palustris,4,4
Zannichellia palustris ssp. pedicellata,4,4
